"items","mean_bias","CP","MSE","Run_Time"
"a0",-0.0444056381501015,100,0.00197186069951775,20.7074019908905
"a1",-0.0237800765215716,100,0.000565492039371802,20.7074019908905
"a2",0.0716224570695723,100,0.00512977635668272,20.7074019908905
"a3",-0.0293778590464436,100,0.00086305860215271,20.7074019908905
"c0",0.0570470792006992,100,0.00325436924533085,20.7074019908905
"c1",-0.0121428630324794,100,0.000147449122625554,20.7074019908905
"c2",-0.00498699776967108,100,2.48701467547044e-05,20.7074019908905
"c3",-0.172862170384986,100,0.0298813299502078,20.7074019908905
"NT_age",-0.0267619641942702,100,0.000716202727535402,20.7074019908905
"NT_donor",-0.0173846620823846,100,0.000302226475718703,20.7074019908905
"NT_gen",0.0742496921163469,100,0.00551301677937231,20.7074019908905
"T_age",-0.0442863412088368,100,0.00196128001766552,20.7074019908905
"T_donor",-0.0837057969970224,0,0.00700666045090672,20.7074019908905
"T_gen",-0.00445640156643978,100,1.98595149213669e-05,20.7074019908905
