"a0.est","a1.est","a2.est","a3.est","c0.est","c1.est","c2.est","c3.est","b0.est","hr.l1.age.est","hr.l2.age.est","hr.l1.gen.est","hr.l2.gen.est","hr.l1.donor.est","hr.l2.donor.est"
-3.29679081952714,0.0972159726538383,-0.0355829388398174,-0.613794592950905,-4.12147539359913,1.22031866215489,-0.189451771656342,-0.716391071399352,-2.20199140868347,1.1020983710296,3.38826727415877,0.965042691389518,0.827412620675419,0.541292980590692,0.488512083734276
-3.29843974813205,0.104788208676278,-0.0220895666722623,-0.675912090742388,-4.14713524819919,1.32812606781895,-0.119592104400337,-0.770409833597588,-2.36365415973688,1.11047539639428,3.77396460333916,0.97815262125238,0.887282281452967,0.508692235471548,0.462823348879066
-3.43669411249187,0.264184824867685,0.0978613640416037,-0.415690606939862,-4.22160982402503,1.31484500854662,-0.13006719419521,-0.562742338609106,-2.17662102216023,1.30236888421436,3.72417372541886,1.10280988540466,0.878036429987046,0.659884402558882,0.569644761083437
-3.29774546413257,0.0803376091691662,-0.0640363054065283,-0.448053765478707,-4.06701125451677,1.25466836971112,-0.149419213676052,-0.730248436310837,-1.74059801683425,1.0836528570653,3.5066752617615,0.937970945496073,0.861208009038675,0.638870333939164,0.48178928126917
-3.37125985729002,0.122237805642118,0.0615200727378638,-0.561148879247275,-4.09422750148719,1.26891780186517,-0.132669601343842,-0.626683293998908,-2.26971189269242,1.13002279562712,3.55700109875337,1.06345184270463,0.875754392388297,0.570553190441319,0.534361184069126
-3.32293750986383,0.155236947617851,0.0156084234479767,-0.55474529049286,-4.21913056310432,1.34749833292574,-0.00897795506015989,-0.636280851314916,-2.84859064411009,1.16793466765866,3.84778759673292,1.01573087113151,0.991062226439227,0.574218501482753,0.529257154265806
-3.33685476656311,0.115297520349012,-0.055054651989329,-0.454185660391115,-4.05178321469806,1.29519036825639,-0.286053898183972,-0.698305566998545,-3.23806129306219,1.12220726740675,3.65169107403932,0.946433422070752,0.751222125347395,0.634964834482187,0.497427447594828
-3.37965402817085,0.213783411470822,0.0482415788446655,-0.536103242460552,-4.15319864610638,1.28957986918598,-0.163391550553013,-0.678844214079628,-3.33664779286733,1.23835441238461,3.63126063074648,1.04942414337668,0.849258595632624,0.585023511206937,0.507202871662688
-3.28980405719546,0.180355537480923,-0.1553116465236,-0.417733781923781,-4.139892563089,1.3386201455627,-0.245762400654884,-0.604127327299315,-1.87417214547199,1.19764309444445,3.81377741529364,0.856148320255516,0.782108031206902,0.658537519682549,0.546551178878456
-3.41735020611436,0.269584060726895,0.0838468192425763,-0.580574637733469,-4.17009744990999,1.29787039661554,-0.0792939039959558,-0.54688168165657,-2.39908062917403,1.30941969837162,3.6614908356305,1.08746230275067,0.923768385324041,0.559576720260968,0.578751731579255
